元件编号	元件名称	元件类别	封装规格	焊盘数量	品牌产地	库类型
C22967	27KΩ (2702) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C13167	2.7KΩ (2701) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22765	1.2KΩ (1201) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C26083	1MΩ (1004) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25792	47KΩ (4702) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25076	100Ω (1000) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C17901	100Ω (1000) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C17902	10KΩ (1002) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C29718	10KΩ (103) ±5%	电阻_贴片排阻	0603*4	8	UniOhm台湾厚声 (授权代理)	基础库
C4410	1KΩ (1001) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C20526	MMBT3904 1AM  100-300	三极管	SOT-23	3	CJ江苏长电 (授权代理)	基础库
C29981	EL357N(C)(TA)-G	贴片光耦	SOP-4_P2.54	4	EVERLIGHT 台湾亿光	基础库
C25510	470Ω (471) ±5%	电阻_贴片排阻	0603*4	8	UniOhm台湾厚声 (授权代理)	基础库
C1051	10uH ±10%	电感_贴片电感	1206	2	FH 风华	基础库
C1046	10uH ±10%	电感_贴片电感	0805	2	Sunlord 顺络	基础库
C1035	10uH ±10%	电感_贴片电感	0603	2	Sunlord 顺络	基础库
C20197	1KΩ (102) ±5%	电阻_贴片排阻	0603*4	8	UniOhm台湾厚声 (授权代理)	基础库
C1980	4.7KΩ (472) ±5%	电阻_贴片排阻	0603*4	8	UniOhm台湾厚声 (授权代理)	基础库
C17900	100KΩ (1003) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C17928	1Ω (1R00) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C17936	4.7KΩ (4701) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C17944	2KΩ (2001) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C25092	22Ω (22R0) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25117	470Ω (4700) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C17958	22Ω (22R0) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C25334	0.1Ω (R100) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C25867	1.5KΩ (1501) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25879	2.2KΩ (2201) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25890	3.3KΩ (3301) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25077	10Ω (10R0) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25752	12KΩ (1202) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25756	15KΩ (1502) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25764	200KΩ (2003) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25765	20KΩ (2002) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25768	22KΩ (2202) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25104	330Ω (3300) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25779	33KΩ (3302) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25105	33Ω (33R0) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
